epoch,accuracy,loss,val_accuracy,val_loss
0,0.35621365904808044,1.3345240354537964,0.4380403459072113,1.2902575731277466
1,0.6260725259780884,1.0152441263198853,0.6426513195037842,0.9445374011993408
2,0.7960143685340881,0.5846061110496521,0.6945244669914246,0.7855450510978699
3,0.8519235849380493,0.4123362600803375,0.7031700015068054,0.7920722365379333
4,0.8796014189720154,0.32116323709487915,0.6887608170509338,0.8407756090164185
5,0.9083864092826843,0.26263025403022766,0.6916426420211792,0.8827089071273804
6,0.9299750924110413,0.2109249383211136,0.6714697480201721,0.968724250793457
7,0.9451978802680969,0.1764056384563446,0.6743515729904175,1.0051606893539429
8,0.9579296708106995,0.15330927073955536,0.6714697480201721,1.0603117942810059
9,0.9606974720954895,0.1273735761642456,0.6657060384750366,1.1338958740234375
10,0.9670633673667908,0.11718501895666122,0.6599423885345459,1.160788893699646
11,0.9687240719795227,0.1018323302268982,0.6714697480201721,1.2244610786437988
12,0.9670633673667908,0.10225321352481842,0.6714697480201721,1.260739803314209
13,0.974259614944458,0.08602605760097504,0.6599423885345459,1.3038737773895264
14,0.9731525182723999,0.08639532327651978,0.651296854019165,1.3541961908340454
15,0.973429262638092,0.08502829819917679,0.6541786789894104,1.3628793954849243
16,0.9739828109741211,0.08047367632389069,0.651296854019165,1.3998520374298096
17,0.9773041605949402,0.07282347232103348,0.6541786789894104,1.3922659158706665
18,0.9759202599525452,0.07675108313560486,0.6541786789894104,1.4281213283538818
19,0.9767506122589111,0.0740562379360199,0.6628242135047913,1.4815410375595093
20,0.9778577089309692,0.06877525895833969,0.6628242135047913,1.4599319696426392
21,0.9767506122589111,0.07001624256372452,0.6541786789894104,1.5288738012313843
22,0.9761970639228821,0.06671805679798126,0.6541786789894104,1.5007350444793701
23,0.9781345129013062,0.06584169715642929,0.6657060384750366,1.5449481010437012
24,0.9775809645652771,0.06330550462007523,0.6570605039596558,1.5422589778900146
